"","segment_rur","frec_rur","q_rur_lb","q_rur_lbm"
"1","1",3399,0.544277728743748,0.233303912915563
"2","2",1807,0.654676258992806,0.302158273381295
"3","3",3624,0.736754966887417,0.353200883002208
"4","4",2453,0.24582144313086,0.0411740725642071
"5","5",4984,0.410313001605136,0.174959871589085
