"","segment_rur","frec_rur","q_rur_lb","q_rur_lbm"
"1","1",653,0.419601837672282,0.125574272588055
"2","2",1874,0.194236926360726,0.0352187833511206
"3","3",3161,0.626384055678583,0.267320468206264
"4","4",1607,0.773490976975731,0.388301182327318
"5","5",761,0.633377135348226,0.278580814717477
"6","6",2034,0.397738446411013,0.152409046214356
"7","7",696,0.191091954022989,0.0272988505747126
"8","8",2195,0.543052391799544,0.20501138952164
"9","9",3275,0.390229007633588,0.156641221374046
