"","X","FOLIOVIV","FOLIOHOG","tam_loc","sexo_jefe","edad_jefe","educa_jefe","tot_integ","p12_64","p65mas","remesas","ing_cor","int0a12","int12a64","int65a98","depdemog","muj12a49","tot_per","ltot_per","p_esc3","p_esc5b","trab_sub","trab_ind","trab_s_pago","seg_alim2","seg_alim3","seg_alim_a","seg_pop","ss","jtrab_ind","ssjtrabind","con_remesas","viv_prop","viv_rent","tot_cuar","bao13","piso_fir","piso_rec","combustible","sin_refri","sin_vehi","sin_compu","sin_vidvd","sin_telef","sin_horno","factor","rururb","tamhogesc","ict","ictpc","finalMemb_rur"
"1050",1050,1060026017,1,4,1,27,8,2,2,0,0,15896.73,0,2,0,0,1,2,0.693147180559945,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,2,1,1,0,1,0,0,1,1,1,1,146,1,1.7002,5013.34832805,2949.09335845783,5
"1051",1051,1060026018,1,4,2,44,6,4,4,0,0,26244.48,0,4,0,0,2,4,1.38629436111989,0,0,1,0,0,1,1,0,4,2,0,0,0,1,0,3,0,1,0,1,0,0,1,1,0,0,146,1,3.4004,6573.55869227,1933.87810030291,1
"1052",1052,1060026219,1,4,1,48,6,3,2,0,0,17878.99,1,2,0,0.5,0,3,1.09861228866811,0,1,1,0,0,1,0,1,0,3,0,0,0,1,0,2,1,1,0,0,0,1,1,1,1,1,146,1,2.7272,5036.06677344,1847.24038333822,4
"1053",1053,1060026220,1,4,1,33,8,3,2,0,0,17337.23,1,2,0,0.5,1,3,1.09861228866811,0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,3,1,1,0,0,0,1,1,0,1,0,146,1,2.6921,5355.82855151,1990.08976319973,4
"1054",1054,1060026221,1,4,1,66,4,3,2,1,0,56059.2,0,2,1,0.5,2,3,1.09861228866811,0,1,1,1,0,0,0,0,1,3,1,0,0,1,0,9,1,1,0,0,0,0,1,0,0,0,146,1,2.6947,16873.80643714,6262.47861993543,1
"1055",1055,1060026222,1,4,1,33,6,3,2,0,0,14977.37,1,2,0,0.5,1,3,1.09861228866811,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,0,1,1,1,1,146,1,2.6921,4297.44466098,1596.94541843914,5
"1056",1056,1060026223,1,4,1,41,6,5,5,0,0,31379.8,0,5,0,0,1,5,1.6094379124341,0,1,2,2,0,0,0,0,3,2,1,0,0,1,0,3,0,1,0,1,0,1,1,1,1,1,146,1,4.3949,9383.19922211,2135.79242351589,1
"1057",1057,1060026224,1,4,1,48,6,4,3,0,0,11555.45,1,3,0,0.333333333333333,2,4,1.38629436111989,1,0,1,2,0,0,1,0,3,2,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,146,1,3.7217,2983.98806259,802.512228978693,3
"1058",1058,1060026801,1,4,1,74,3,4,1,2,0,18488,1,1,2,3,0,4,1.38629436111989,0,1,2,0,0,0,0,0,2,2,0,0,0,1,0,4,0,1,0,1,0,1,1,1,1,1,146,1,3.4329,5206.7941283,1517.44211258703,4
"1059",1059,1060026803,1,4,1,31,8,5,2,0,0,35767.48,3,2,0,1.5,1,5,1.6094379124341,0,1,1,0,0,0,0,0,5,5,0,0,0,1,0,4,1,1,0,0,0,0,0,1,1,0,146,1,4.1334,10707.29951788,2591.19197703585,4
