"","segment_rur","frec_rur","q_rur_lb","q_rur_lbm"
"1","1",1136,0.386443661971831,0.134683098591549
"2","2",1379,0.358955765047136,0.12545322697607
"3","3",1811,0.732192159028161,0.374378796245168
"4","4",3262,0.431637032495402,0.186082158185162
"5","5",2177,0.42443729903537,0.185117133670188
"6","6",1264,0.591772151898734,0.242879746835443
"7","7",393,0.623409669211196,0.287531806615776
"8","8",2263,0.632346442775077,0.277949624392399
"9","9",2582,0.519364833462432,0.20565453137103
